City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,borogontsy,62.6683,131.1683,-36.4,95,38,1.65,RU,1738716545
155,port elizabeth,-33.918,25.5701,22.4,94,100,1.79,ZA,1738716546
156,at-bashi,41.1702,75.8106,-17.92,70,59,1.37,KG,1738716547
157,westerland,54.9079,8.3033,4.01,93,100,8.23,DE,1738716166
158,lakehills,29.6047,-98.9431,24.36,74,0,4.54,US,1738716550
159,arteche,12.2645,125.4048,27.53,76,100,4.41,PH,1738716183
160,kibre mengist,5.8833,38.9833,9.09,39,100,1.51,ET,1738716552
161,jianshui,23.6363,102.8264,9.73,95,85,1.44,CN,1738716553
162,bandar labuan,5.2888,115.2692,26.2,94,20,0.0,MY,1738716554
163,trincomalee,8.5711,81.2335,27.13,73,100,5.17,LK,1738716555
164,dudinka,69.4058,86.1778,-30.04,96,65,0.98,RU,1738716557
165,saipan,15.1355,145.701,29.39,75,20,6.17,MP,1738716558
166,genhe,50.7833,121.5167,-30.84,98,82,0.29,CN,1738716559
167,villa yapacani,-17.4,-63.8333,24.61,79,18,0.72,BO,1738716560
168,ancud,-41.8697,-73.8203,13.95,76,4,0.87,CL,1738716406
169,pangkalanbuun,-2.6833,111.6167,24.84,91,100,1.04,ID,1738716563
170,bardai,11.65,7.2333,19.52,11,39,4.27,NG,1738716564
171,hadibu,12.65,54.0333,21.31,71,53,5.08,YE,1738716565
172,avarua,-21.2078,-159.775,27.03,94,100,1.03,CK,1738716566
173,antsiranana,-12.2787,49.2917,24.29,89,100,4.52,MG,1738715977
174,sittwe,20.15,92.9,18.13,54,0,3.04,MM,1738716568
175,jamestown,42.097,-79.2353,-5.2,73,100,4.63,US,1738716570
176,mahanoro,-19.9,48.8,24.66,85,100,3.14,MG,1738716571
177,beardstown,40.0176,-90.4243,0.6,61,100,2.68,US,1738716572
178,vilyuchinsk,52.9306,158.4028,-3.85,79,100,1.55,RU,1738716573
179,rouached,36.4577,6.0427,5.35,92,9,1.59,DZ,1738716574
180,tivat,42.4364,18.6961,4.96,45,0,0.0,ME,1738716575
181,ponta delgada,37.7333,-25.6667,18.44,100,100,3.6,PT,1738716577
182,bilibino,68.0546,166.4372,-42.33,96,45,1.47,RU,1738716578
183,dubbo,-32.25,148.6167,33.07,33,0,4.12,AU,1738716579
184,saldanha,-33.0117,17.9442,18.3,88,6,4.5,ZA,1738716580
185,ascension,30.2169,-90.9001,24.0,81,100,0.0,US,1738716581
186,tamanrasset,22.785,5.5228,13.95,17,0,2.06,DZ,1738716584
187,yuzhno-kurilsk,44.0306,145.8556,-1.58,75,3,8.3,RU,1738716587
188,dodge city,37.7528,-100.0171,-6.86,100,100,4.63,US,1738716335
189,pisco,-13.7,-76.2167,23.03,83,0,7.2,PE,1738716589
190,hauterive,46.0901,3.4459,-0.32,86,0,0.73,FR,1738716590
191,karratha,-20.7377,116.8463,31.83,61,6,1.23,AU,1738716591
192,ta`u,-14.2336,-169.5144,28.33,71,25,3.33,AS,1738715996
193,ust'-ilimsk,58.0006,102.6619,-24.2,86,39,4.0,RU,1738716594
194,selfoss,63.9331,-20.9971,-0.53,62,100,15.81,IS,1738716000
195,bengkulu,-3.8004,102.2655,23.8,89,100,1.67,ID,1738716596
196,howard springs,-12.497,131.047,27.21,92,100,5.37,AU,1738716008
197,sravana belgola,12.8583,76.4894,16.06,58,22,1.79,IN,1738716600
198,kurumkan,54.3,110.3,-28.41,89,48,1.91,RU,1738716602
199,cinisi,38.1562,13.1073,10.14,93,40,1.54,IT,1738716526
200,fort bragg,35.139,-79.006,17.75,68,0,0.0,US,1738716604
201,pacific grove,36.6177,-121.9166,17.06,90,100,16.99,US,1738716605
202,port alfred,-33.5906,26.891,22.88,96,100,1.34,ZA,1738716607
203,carnarvon,-24.8667,113.6333,27.07,74,7,4.1,AU,1738716608
204,novogrudok,53.6,25.8333,-3.22,97,30,1.52,BY,1738716609
205,constantia,44.1833,28.65,-0.62,69,9,5.22,RO,1738716610
206,fort wellington,6.4,-57.6,25.27,87,81,4.63,GY,1738716069
207,badger,64.8,-147.5333,-10.9,85,100,0.0,US,1738716613
208,olonkinbyen,70.9221,-8.7187,-1.75,79,88,8.81,SJ,1738716614
209,nago,26.5881,127.9761,12.02,59,100,4.78,JP,1738716615
210,san patricio,28.017,-97.5169,23.97,92,100,3.77,US,1738716617
211,rancho palos verdes,33.7445,-118.387,16.48,80,40,5.66,US,1738716619
212,hamilton,39.1834,-84.5333,4.77,66,0,3.13,US,1738716365
213,tofol,5.3248,163.0078,27.88,89,100,7.2,FM,1738716621
214,kolonia,50.9333,6.95,0.36,87,75,2.06,DE,1738716523
215,holualoa,19.6228,-155.9522,23.64,65,10,0.45,US,1738716624
216,linqiong,30.4159,103.4609,6.94,84,100,2.43,CN,1738716625
217,riverside,33.7333,-116.0508,23.36,24,0,2.06,US,1738716420
218,mount isa,-20.7333,139.5,30.87,55,99,2.57,AU,1738716627
219,beaufort west,-32.3567,22.583,21.78,55,6,2.24,ZA,1738716629
220,kenora,49.8167,-94.4337,-18.46,71,75,2.06,CA,1738716630
221,labytnangi,66.6572,66.4183,-23.17,97,100,3.39,RU,1738716631
222,nieuw amsterdam,5.8833,-55.0833,24.76,91,100,3.55,SR,1738716632
223,peniche,39.3558,-9.3811,10.81,91,10,2.3,PT,1738716634
224,piacabucu,-10.4056,-36.4344,26.14,71,0,4.31,BR,1738716635
225,broken hill,-31.95,141.4333,31.0,34,0,0.67,AU,1738716636
226,bosa,40.2993,8.4983,9.44,79,0,1.43,IT,1738716637
227,trumbull,41.3167,-80.7665,-2.47,80,100,3.6,US,1738716638
228,lycksele,64.5954,18.6735,-5.07,93,100,4.63,SE,1738716639
229,trairi,-3.2778,-39.2689,24.58,92,31,3.81,BR,1738716625
230,esmeraldas,-19.7625,-44.3139,18.9,91,100,1.5,BR,1738716642
231,kavaratti,10.5669,72.642,27.61,70,50,5.06,IN,1738716643
232,leme,-22.1856,-47.3903,22.82,94,100,0.37,BR,1738716367
233,kapuskasing,49.4169,-82.4331,-16.95,71,75,2.57,CA,1738716647
234,stanley,54.868,-1.6985,4.01,83,0,4.12,GB,1738716648
235,isafjordur,66.0755,-23.124,-2.68,72,100,12.73,IS,1738716649
236,yambio,4.5721,28.3955,24.64,39,70,1.71,SS,1738716651
237,turpan,42.9333,89.1667,-3.43,45,4,1.09,CN,1738716653
238,alice springs,-23.7,133.8833,32.75,27,3,10.8,AU,1738716654
239,tazovsky,67.4667,78.7,-27.58,100,100,2.36,RU,1738716655
240,tari,-11.1105,14.3559,18.73,91,100,1.05,AO,1738716656
241,wanxian,30.8039,108.3897,10.65,73,100,2.67,CN,1738716657
242,bafoulabe,13.8065,-10.8321,23.8,13,100,2.99,ML,1738716659
243,anadyr,64.75,177.4833,-29.72,67,5,9.0,RU,1738716660
244,boguchany,58.3814,97.4531,-24.24,100,38,1.35,RU,1738716661
245,auki,-8.7676,160.7034,31.36,60,100,1.87,SB,1738716662
246,vila velha,-20.3297,-40.2925,25.97,78,20,3.6,BR,1738716554
247,southside,33.9245,-86.0225,16.95,100,75,0.0,US,1738716665
248,ribeira grande,38.5167,-28.7,18.21,96,100,7.6,PT,1738716666
249,montrose,38.4166,-108.2673,3.55,49,52,4.25,US,1738716667
250,fortuna,40.5982,-124.1573,5.19,91,100,0.59,US,1738716668
251,pariaman,-0.619,100.12,26.03,68,97,1.45,ID,1738716669
252,comilla,23.4578,91.2044,15.42,61,20,1.06,BD,1738716671
253,saratovskaya,44.7103,39.2244,-0.6,87,12,0.82,RU,1738716672
254,lobujya,27.95,86.8167,-12.28,23,8,0.88,NP,1738716673
255,parfino,57.9731,31.6481,-13.31,92,0,1.31,RU,1738716675
256,hadithah,34.1397,42.3781,11.47,44,0,4.51,IQ,1738716677
257,cidreira,-30.1811,-50.2056,25.2,92,0,4.94,BR,1738716678
258,al ghayzah,16.2079,52.176,16.85,52,5,2.31,YE,1738716679
259,carutapera,-1.195,-46.02,24.38,95,100,2.14,BR,1738716680
260,prado,-17.3411,-39.2208,25.9,81,0,4.19,BR,1738716681
261,kavieng,-2.5744,150.7967,29.43,67,74,4.37,PG,1738716682
262,villa gesell,-37.2639,-56.973,19.0,61,2,9.36,AR,1738716432
263,adrar,20.5022,-10.0711,14.87,24,0,4.02,MR,1738716686
264,qamdo,31.1667,97.2333,-2.19,51,10,1.87,CN,1738716687
265,shibirghan,36.6676,65.7529,4.87,62,6,2.54,AF,1738716689
266,cacheu,12.2706,-16.1658,21.86,11,100,3.66,GW,1738716690
267,st. john's,47.5649,-52.7093,-2.24,80,20,11.83,CA,1738716543
268,iskateley,67.6803,53.1512,-7.91,94,100,5.68,RU,1738716692
269,buka,40.8108,69.1986,2.46,56,99,0.85,UZ,1738716693
270,ilovlya,49.3033,43.9796,-2.91,93,100,2.21,RU,1738716694
271,sur,22.5667,59.5289,18.23,61,0,0.8,OM,1738716696
272,port augusta,-32.5,137.7667,29.27,33,0,6.12,AU,1738716697
273,takab,36.4009,47.1133,-5.38,63,7,2.33,IR,1738716698
274,pratt,37.6439,-98.7376,-4.88,100,100,2.57,US,1738716700
275,rio grande,-32.035,-52.0986,24.59,94,1,5.98,BR,1738716444
276,acapulco de juarez,16.8634,-99.8901,23.71,74,0,2.95,MX,1738716670
277,kerikeri,-35.2268,173.9474,25.22,50,22,3.49,NZ,1738716704
278,el salto,20.3333,-104.5,17.77,37,2,2.32,MX,1738716705
279,kangding,30.0513,101.9603,4.35,61,30,1.07,CN,1738716706
280,cullowhee,35.3137,-83.1765,14.55,82,10,1.16,US,1738716707
281,madera,37.1666,-119.8343,13.19,87,100,4.11,US,1738716708
282,severo-yeniseyskiy,60.3725,93.0408,-26.91,100,71,0.79,RU,1738716710
283,saranac lake,44.3295,-74.1313,-12.82,89,0,2.06,US,1738716658
284,myeik,12.4333,98.6,24.64,84,0,2.01,MM,1738716712
285,onega,63.9061,38.1404,-23.19,99,36,2.11,RU,1738716713
286,tekari,24.9333,84.8333,15.12,54,63,2.42,IN,1738716714
287,kempsey,-31.0833,152.8333,29.41,66,100,4.02,AU,1738716716
288,bada,51.392,109.8717,-20.48,83,100,6.27,RU,1738716717
289,yangchun,22.1667,111.7833,14.62,47,72,1.96,CN,1738716718
290,ulladulla,-35.35,150.4667,22.53,77,100,5.28,AU,1738716719
291,valparaiso,-33.0393,-71.6273,20.81,37,0,1.54,CL,1738716510
292,tateyama,34.9833,139.8667,5.06,51,97,5.33,JP,1738716722
